PetId,Name,Species,Breed,Sex,DateOfBirthEstimate,Color,Origin,ClinicId,OwnerId,RescueDate,ShelterLocation,IntakeNotes,Status
1,"Thor","Dog","Labrador Retriever","Male",2021-04-12,"Golden","Owned",1,1,,,,"ClinicPatient"
2,"Mia","Cat","Siamese","Female",2020-09-03,"Cream/Brown","Owned",1,2,,,,"ClinicPatient"
3,"Bolt","Dog","Mixed Breed","Male",2022-01-15,"Black/White","Rescued",1,,2025-03-02,"Curitiba - Unidade Centro","Encontrado perto da rodovia, desnutrido mas docil desde a chegada.","InShelter"
4,"Luna","Cat","Mixed Breed","Female",2023-06-20,"Gray Tabby","Rescued",1,,2025-05-18,"Curitiba - Unidade Centro","Resgatada de uma caixa perto do mercado, ainda assustada com barulhos altos.","InShelter"
5,"Max","Dog","Poodle","Male",2019-11-30,"White","Owned",1,4,,,,"ClinicPatient"
6,"Nala","Dog","Mixed Breed","Female",2021-08-09,"Brown","Rescued",1,5,2025-02-11,"Curitiba - Unidade Centro","Muito afetuosa, se adaptou rapido a rotina do abrigo.","Adopted"
7,"Simba","Cat","Persian","Male",2020-02-27,"Orange","Owned",1,6,,,,"ClinicPatient"
8,"Bela","Dog","Beagle","Female",2022-10-05,"Tricolor","Rescued",1,,2025-07-22,"Curitiba - Unidade Centro","Muito sociavel, otima com outros caes e criancas.","PendingAdoption"
9,"Rocky","Dog","Bulldog","Male",2021-12-01,"Brindle","Rescued",1,7,2025-01-14,"Curitiba - Unidade Centro","Chegou com leve claudicacao, recuperou bem apos repouso.","Adopted"
10,"Mel","Cat","Mixed Breed","Female",2023-03-08,"Calico","Rescued",1,,2026-02-10,"Curitiba - Unidade Centro","Chegou machucada na pata, em recuperacao, ainda timida com estranhos.","InShelter"
11,"Zeus","Dog","Rottweiler","Male",2018-07-19,"Black/Tan","Owned",1,8,,,,"ClinicPatient"
12,"Amora","Cat","Mixed Breed","Female",2022-05-25,"Black","Rescued",1,9,2025-04-09,"Curitiba - Unidade Centro","Bastante independente, gosta de lugares altos, boa com adultos.","Adopted"
13,"Toby","Dog","Mixed Breed","Male",2023-01-11,"Sand","Rescued",1,,2026-01-05,"Curitiba - Unidade Centro","Energetico, precisa de espaco grande, nao recomendado para apartamento pequeno.","PendingAdoption"
14,"Nina","Rabbit","Mini Lop","Female",2023-09-14,"White/Brown","Owned",1,11,,,,"ClinicPatient"
15,"Duke","Dog","Golden Retriever","Male",2020-06-02,"Golden","Rescued",1,12,2025-06-30,"Curitiba - Unidade Centro","Resgatado junto com a ninhada, ja treinado e calmo com criancas.","Adopted"
